id,station_name,zip_code,charge_level,latitude,longitude,modified,created,connector_type,price,site_id,status,insert stations
1234,"The Ritz-Carlton, Marina Del Rey - Tesla Destination",90292,2,33.984245,-118.450318,2021-03-11 23:22:17+00:00,06/01/2015,J1772 TESLA,0,617,available,"('The Ritz-Carlton, Marina Del Rey - Tesla Destination', 2, Point(-118.450318, 33.984245), '2021-03-11 23:22:17+00:00', '2015-06-01 00:00:00', 'J1772 TESLA', 0, 617),"
1235,"The Ritz-Carlton, Marina Del Rey - Tesla Destination",90292,2,33.984245,-118.450318,2021-03-11 23:22:17+00:00,06/01/2015,J1772 TESLA,0,617,available,"('The Ritz-Carlton, Marina Del Rey - Tesla Destination', 2, Point(-118.450318, 33.984245), '2021-03-11 23:22:17+00:00', '2015-06-01 00:00:00', 'J1772 TESLA', 0, 617),"
1236,The Seychelle,90401,2,34.008945,-118.491261,2022-10-05 22:57:07+00:00,03/07/2018,J1772,0.59,618,available,"('The Seychelle', 2, Point(-118.491261, 34.008945), '2022-10-05 22:57:07+00:00', '2018-03-07 00:00:00', 'J1772', 0.59, 618),"
1237,The Seychelle,90401,2,34.008945,-118.491261,2022-10-05 22:57:07+00:00,03/07/2018,J1772,0.59,618,available,"('The Seychelle', 2, Point(-118.491261, 34.008945), '2022-10-05 22:57:07+00:00', '2018-03-07 00:00:00', 'J1772', 0.59, 618),"
1238,The Shops at Missions Viejo - Tesla Supercharger,92691,3,33.557287,-117.668031,2021-11-04 18:37:47+00:00,03/27/2020,TESLA,0.28,619,available,"('The Shops at Missions Viejo - Tesla Supercharger', 3, Point(-117.668031, 33.557287), '2021-11-04 18:37:47+00:00', '2020-03-27 00:00:00', 'TESLA', 0.28, 619),"
1239,The Shops at Missions Viejo - Tesla Supercharger,92691,3,33.557287,-117.668031,2021-11-04 18:37:47+00:00,03/27/2020,TESLA,0.28,619,available,"('The Shops at Missions Viejo - Tesla Supercharger', 3, Point(-117.668031, 33.557287), '2021-11-04 18:37:47+00:00', '2020-03-27 00:00:00', 'TESLA', 0.28, 619),"
1240,The Shops at Missions Viejo - Tesla Supercharger,92691,3,33.557287,-117.668031,2021-11-04 18:37:47+00:00,03/27/2020,TESLA,0.28,619,available,"('The Shops at Missions Viejo - Tesla Supercharger', 3, Point(-117.668031, 33.557287), '2021-11-04 18:37:47+00:00', '2020-03-27 00:00:00', 'TESLA', 0.28, 619),"
1241,"The Standard, Downtown LA - Tesla Destination",90071,2,34.050158,-118.256975,2021-03-11 23:22:17+00:00,03/01/2017,J1772 TESLA,0,620,available,"('The Standard, Downtown LA - Tesla Destination', 2, Point(-118.256975, 34.050158), '2021-03-11 23:22:17+00:00', '2017-03-01 00:00:00', 'J1772 TESLA', 0, 620),"
1242,"The Standard, Downtown LA - Tesla Destination",90071,2,34.050158,-118.256975,2021-03-11 23:22:17+00:00,03/01/2017,J1772 TESLA,0,620,available,"('The Standard, Downtown LA - Tesla Destination', 2, Point(-118.256975, 34.050158), '2021-03-11 23:22:17+00:00', '2017-03-01 00:00:00', 'J1772 TESLA', 0, 620),"
1243,"The Standard, Downtown LA - Tesla Destination",90071,2,34.050158,-118.256975,2021-03-11 23:22:17+00:00,03/01/2017,J1772 TESLA,0,620,available,"('The Standard, Downtown LA - Tesla Destination', 2, Point(-118.256975, 34.050158), '2021-03-11 23:22:17+00:00', '2017-03-01 00:00:00', 'J1772 TESLA', 0, 620),"
